name,source,gender,wikidata,type
Aalstraße,wikidata,-,Q26387,way
Bännjerstraße,wikidata,-,Q631166,way
"Breslauer Straße",wikidata,-,Q1799,way
Emmagasse,wikidata,-,Q541194,way
Esperantostraße,wikidata,-,Q143,way
Fliederweg,wikidata,-,Q157449,way
"Gleiwitzer Straße",wikidata,-,Q105084,way
"Greifswalder Straße",wikidata,-,Q4098,way
Lutrinastraße,wikidata,-,Q48754987,way
Merkurstraße,wikidata,-,Q1150,way
"Sickinger Straße",wikidata,-,Q2281560,way
Siegfriedstraße,wikidata,-,Q537554,way
"Wartenberger Weg",wikidata,-,Q875753,way
Annastraße,wikidata,F,Q164294,way
Augustastraße,wikidata,F,Q57541,way
Carola-Dauber-Straße,wikidata,F,Q1044212,way
Clara-Immerwahr-Straße,wikidata,F,Q7490,way
Elisabeth-Kirch-Straße,wikidata,F,Q60842063,way
Ella-Fitzgerald-Weg,wikidata,F,Q1768,way
Käthe-Kollwitz-Straße,wikidata,F,Q142472,way
Lina-Staab-Straße,wikidata,F,Q1825653,way
Luisenstraße,wikidata,F,Q2562888,way
Marie-Curie-Straße,wikidata,F,Q7186,way
Marie-Juchacz-Straße,wikidata,F,Q85820,way
St.-Marien-Platz,wikidata,F,Q345,way
Susanne-Faschon-Straße,wikidata,F,Q2369188,way
Theresienstraße,wikidata,F,Q233198,way
Adolph-Kolping-Platz,wikidata,M,Q60619,way
Albert-Einstein-Straße,wikidata,M,Q937,way
Albert-Schweitzer-Straße,wikidata,M,Q49325,way
Albertstraße,wikidata,M,Q168657,way
Albrechtstraße,wikidata,M,Q153956,way
Alex-Müller-Straße,wikidata,M,Q50329402,way
"Am Kaiserwoog",wikidata,M,Q130221,way
"Am Stophelspfad",wikidata,M,Q193507,way
Balbierstraße,wikidata,M,Q55683930,way
Barbarossaring,wikidata,M,Q79789,way
Barbarossastraße,wikidata,M,Q79789,way
Beethovenstraße,wikidata,M,Q255,way
Benzinoring,wikidata,M,Q1541647,way
Bismarckstraße,wikidata,M,Q8442,way
Blücherstraße,wikidata,M,Q153522,way
Brahmsstraße,wikidata,M,Q7294,way
Carl-Euler-Straße,wikidata,M,Q28058108,way
Carl-F.-Benz-Straße,wikidata,M,Q40224,way
Carl-Schurz-Straße,wikidata,M,Q127437,way
Carl-Sonnenschein-Straße,wikidata,M,Q107712,way
Carlo-Schmid-Straße,wikidata,M,Q67511,way
Casimirring,wikidata,M,Q62482,way
Cusanusstraße,wikidata,M,Q154751,way
Daennerstraße,wikidata,M,Q27468242,way
Damaschkestraße,wikidata,M,Q89439,way
Daniel-Häberle-Straße,wikidata,M,Q19277790,way
Denisstraße,wikidata,M,Q2059114,way
Dürerstraße,wikidata,M,Q5580,way
Ebertstraße,wikidata,M,Q2646,way
Emmerich-Smola-Platz,wikidata,M,Q1338637,way
Ernst-Christmann-Straße,wikidata,M,Q59529032,way
Erwin-Schrödinger-Straße,wikidata,M,Q9130,way
Eugen-Bindewald-Straße,wikidata,M,Q94917980,way
Eugen-Hertel-Straße,wikidata,M,Q1372605,way
Fauthweg,wikidata,M,Q69478,way
Feiningerstraße,wikidata,M,Q158255,way
Feuerbachstraße,wikidata,M,Q250194,way
Fontanestraße,wikidata,M,Q76632,way
Franz-Xaver-Baumann-Straße,wikidata,M,Q50328768,way
Friedrich-Engels-Straße,wikidata,M,Q34787,way
Friedrich-Karl-Straße,wikidata,M,Q60505,way
Friedrichstraße,wikidata,M,Q58600,way
Fritz-Walter-Straße,wikidata,M,Q22717,way
Fröbelstraße,wikidata,M,Q76679,way
Gabelsbergerstraße,wikidata,M,Q62137,way
Gerhart-Hauptmann-Straße,wikidata,M,Q43523,way
Gienanthstraße,wikidata,M,Q39544654,way
Glenn-Miller-Weg,wikidata,M,Q103651,way
Goebenstraße,wikidata,M,Q65591,way
Goethestraße,wikidata,M,Q5879,way
Gottfried-Keller-Straße,wikidata,M,Q122370,way
Gottfried-Kinkel-Straße,wikidata,M,Q68325,way
Gottlieb-Daimler-Straße,wikidata,M,Q57098,way
Gustav-Heinemann-Straße,wikidata,M,Q2573,way
Gustave-Eiffel-Straße,wikidata,M,Q20882,way
Gutenbergstraße,wikidata,M,Q8958,way
Händelstraße,wikidata,M,Q7302,way
Hans-Geiger-Straße,wikidata,M,Q57189,way
Hans-Küfner-Straße,wikidata,M,Q1580947,way
Hartmannstraße,wikidata,M,Q92392,way
Haydnstraße,wikidata,M,Q7349,way
Hegelstraße,wikidata,M,Q9235,way
Heinrich-Heine-Straße,wikidata,M,Q44403,way
Herderstraße,wikidata,M,Q155547,way
Hermann-Hesse-Straße,wikidata,M,Q25973,way
Hermann-Löns-Straße,wikidata,M,Q77486,way
Herzog-von-Weimar-Straße,wikidata,M,Q213533,way
Hilgardring,wikidata,M,Q91417,way
Höfflerstraße,wikidata,M,Q15821701,way
Hohlestraße,wikidata,M,Q55681958,way
Hölderlinstraße,wikidata,M,Q75889,way
Holtzendorffstraße,wikidata,M,Q1731149,way
Hornstraße,wikidata,M,Q81071693,way
Huberstraße,wikidata,M,Q1358757,way
Humboldtstraße,wikidata,M,Q6694,way
Hussongstraße,wikidata,M,Q1611561,way
Jacobstraße,wikidata,M,Q50824909,way
Jägerstraße,wikidata,M,Q1251924,way
Jahnstraße,wikidata,M,Q77098,way
Jung-Stilling-Straße,wikidata,M,Q215845,way
Kaiserstraße,wikidata,M,Q150652,way
Kandinskystraße,wikidata,M,Q61064,way
Kantstraße,wikidata,M,Q9312,way
Karl-Marx-Straße,wikidata,M,Q9061,way
Karl-Peters-Straße,wikidata,M,Q77403,way
Karl-Pfaff-Siedlung,wikidata,M,Q27900345,way
Karl-Theodor-Platz,wikidata,M,Q44961,way
Kettelerstraße,wikidata,M,Q626805,way
Kölchenstraße,wikidata,M,Q19960151,way
Königstraße,wikidata,M,Q44825,way
Konrad-Adenauer-Straße,wikidata,M,Q2492,way
Konrad-Zuse-Straße,wikidata,M,Q60093,way
Kurt-Schumacher-Straße,wikidata,M,Q57465,way
Lassallestraße,wikidata,M,Q75784,way
Leibnizstraße,wikidata,M,Q9047,way
Lessingstraße,wikidata,M,Q34628,way
Liebigstraße,wikidata,M,Q16571,way
Ludwig-Erhard-Straße,wikidata,M,Q2496,way
Ludwig-Thoma-Straße,wikidata,M,Q45309,way
Ludwig-Waldschmidt-Straße,wikidata,M,Q23000770,way
Ludwigstraße,wikidata,M,Q44361,way
Martin-Luther-Straße,wikidata,M,Q9554,way
Max-Planck-Straße,wikidata,M,Q9021,way
Maxstraße,wikidata,M,Q44319,way
Medicusstraße,wikidata,M,Q77464,way
Menzelstraße,wikidata,M,Q164961,way
Merianstraße,wikidata,M,Q57968,way
Meuthstraße,wikidata,M,Q1446794,way
Möllendorfstraße,wikidata,M,Q66808,way
Moltkestraße,wikidata,M,Q44205,way
Mozartstraße,wikidata,M,Q254,way
Orffstraße,wikidata,M,Q15438473,way
Oskar-Schlemmer-Ring,wikidata,M,Q458816,way
"Pariser Straße",wikidata,M,Q150652,way
Pascalstraße,wikidata,M,Q1290,way
Paul-Ehrlich-Straße,wikidata,M,Q57089,way
Paul-Münch-Straße,wikidata,M,Q22611,way
Paulstraße,wikidata,M,Q9200,way
Pfaffplatz,wikidata,M,Q123012,way
Pfaffstraße,wikidata,M,Q123012,way
Philipp-Hepp-Straße,wikidata,M,Q2086812,way
Pollichstraße,wikidata,M,Q68935,way
Richard-Menges-Straße,wikidata,M,Q27941958,way
Richard-Wagner-Straße,wikidata,M,Q1511,way
Röchlingstraße,wikidata,M,Q91364,way
Roonstraße,wikidata,M,Q77281,way
Rousseaustraße,wikidata,M,Q6527,way
Rudolf-Breitscheid-Straße,wikidata,M,Q70890,way
Rudolf-Diesel-Straße,wikidata,M,Q12674,way
Schandeinstraße,wikidata,M,Q15808008,way
Scheffelstraße,wikidata,M,Q9082,way
Schellingstraße,wikidata,M,Q60070,way
Schillerplatz,wikidata,M,Q22670,way
Schillerstraße,wikidata,M,Q22670,way
Schoenstraße,wikidata,M,Q1685817,way
Schopenhauerstraße,wikidata,M,Q38193,way
Schreberstraße,wikidata,M,Q153160,way
Schubertstraße,wikidata,M,Q7312,way
Siemensstraße,wikidata,M,Q58577,way
Slevogtstraße,wikidata,M,Q703356,way
Spinozastraße,wikidata,M,Q35802,way
Sprangerstraße,wikidata,M,Q61151,way
St.-Franziskus-Straße,wikidata,M,Q676555,way
St.-Martins-Platz,wikidata,M,Q133704,way
Steigerhügel,wikidata,M,Q61474,way
Steinmetzstraße,wikidata,M,Q61474,way
Stresemannstraße,wikidata,M,Q103955,way
Theo-Vondano-Straße,wikidata,M,Q19816372,way
Theodor-Heuss-Straße,wikidata,M,Q2594,way
Theodor-Kiefer-Straße,wikidata,M,Q94812315,way
Theodor-Pixis-Straße,wikidata,M,Q2418131,way
Theodor-Storm-Straße,wikidata,M,Q26993,way
Theodor-Zink-Straße,wikidata,M,Q2418514,way
Thomas-Dehler-Straße,wikidata,M,Q215092,way
Voltairestraße,wikidata,M,Q9068,way
Von-Braun-Straße,wikidata,M,Q2063395,way
Von-Miller-Straße,wikidata,M,Q76456,way
Von-der-Goltz-Straße,wikidata,M,Q102602,way
Walter-Flex-Straße,wikidata,M,Q73525,way
Walter-Gropius-Straße,wikidata,M,Q61071,way
Walter-Kolb-Straße,wikidata,M,Q2545117,way
Weberstraße,wikidata,M,Q154812,way
Weisgerberstraße,wikidata,M,Q451003,way
Werderstraße,wikidata,M,Q64634,way
Werner-Heisenberg-Straße,wikidata,M,Q40904,way
Wilhelm-Busch-Straße,wikidata,M,Q109540,way
Wilhelm-Raabe-Straße,wikidata,M,Q60647,way
Wilhelmstraße,wikidata,M,Q150652,way
Willy-Brandt-Platz,wikidata,M,Q2514,way
Wolpertstraße,wikidata,M,Q94863144,way
Zeppelinplatz,wikidata,M,Q75780,way
